What is Python?,Python is a high-level interpreted interactive and object-oriented scripting language. Python is designed to be highly readable. It uses English keywords frequently where as other languages use punctuation.
Name some of the features of Python. , easy to code Free and Open Source object oeriented language large standard libraries GUI libraries interpreted
Is python a case sensitive language?,Yes! Python is a case sensitive programming language.
What are the supported data types in Python?,Numbers String List Tuple Dictionary
How will you capitalizes first letter of string?,capitalize function Capitalizes first letter of a string.
What is PEP8?,PEP8 is the latest set of Python coding standards. It is a document that provides guidelines and best practices for how to write Python code. Its primary focus is to improve the readability and consistency of Python code.
What is the difference between a list and a tuple in Python?,Both lists and tuples can store an ordered array of objects however a tuple is immutable. This means that once a tuple is created with objects in it the objects can not be swapped out (mutating). A list still allows for objects to be reassigned within the list.
How does Python manage memory?,Python manages memory in the Python private heap space. Pythons memory manager and garbage collector control the private heap space. 
What is a Python namespace?,Namespaces in Python ensure that Python variables functions and other names don’t clash.
What is the purpose of the PYTHONPATH variable?,PYTHONPATH is an environmental variable that will tell the operating system where to find Python libraries. 
What is the purpose of the PYTHONSTARTUP variable?,This variable contains the path of an initialization file that houses Python source code. It executes each time the Python interpreter starts.
What is the purpose of the PYTHONCASEOK variable?,This is a variable specifically for running Python on the Windows operating system. It tells the Python interpreter to use case-insensitive match when trying to find imported libraries.
What is the purpose of the PYTHONHOME variable?,This is an alternate path to search for Python modules.
What are Python modules?, a Python module as a code library. A module is a collection of Python classes functions and variables. Modules are usually separated from each other when they supply different functionality.
What are some common modules in the Python standard library?,Email string sqlite3 xml logging trackbook.
What is scope in Python?,All objects in Python have a scope. Scope is the block of code where the variable is accessible.
What built-in types does Python support?,Number string tuple list dictionary set.
What is a Python decorator?,A Python decorator is a function that extends the behavior of another Python function without explicitly modifying it.
What is pickling/unpickling in Python?,Pickling is when a Python object converts into a string representation by a pickle module. It is then placed into a file with the dump() function. Unpickling refers to the reverse process in which the stored string is retrieved and turned back into an object.
What is a negative index in Python?,While positive indices begin with position 0 and follow with 1 2 etc. negative indices end with -1. -2 etc.; -3 is the position before that and so on. Negative indexes can access elements in a Python list from the end of the list rather than from the beginning.
How are global and local variables defined in Python?,In general variables defined outside of functions are global. Variables defined inside a function can also be made global by using the command global x for example to create a global variable called x.
What is a Python dictionary?,A Python dictionary is one of the standard data structures in Python. It is an unordered collection of elements acting as a hash-table. These elements are stored within key-value pairs. Dictionaries are indexed by keys.
What does the Python is operator do?,When the is operator is used in a Python expression it evaluates to true if the variables on both sides point to the same object.
What does the Python not in operator do?,The Python not in operator evaluates to true if it does not find a variable in the specified sequence and false if it does not.
What does the Python break statement do?,The Python break statement stops a loop statement and transfers execution of the code to the statement after the loop.
What does the Python continue statement do?,The Python continue statement causes a loop to skip the rest of its body and continue at the beginning of the loop.
What does the Python pass statement do?,The Python pass statement is used when a statement is required but you do not want a command or code to execute.
What are Python dictionary and list comprehensions?,Comprehensions in Python are like decorators. They are what is called syntactic sugar that helps create filtered and modified lists and dictionaries from existing lists dictionaries or sets. They are handy and quick because you can write them in one line of code.
What are Python lambdas and why are they used?,Python lambdas are anonymous functions. They can accept multiple arguments but only have a single expression. They are used where a function is needed temporarily and will not be needed by other code. They are also limited in their scope of capabilities compared to a full function.
How do you copy an object in Python?,To create a copy of an object in Python you need to use the copy module.
What is self in Python?,In Python self represents the object or instance of a class when referring to itself internally. In other languages this variable is often called this.
What is a generator in Python?,Generators in Python are like functions that can return more than once. This is called yielding. They are used to return an iterable collection of items. They are defined with def just like Python functions.
What does the Python help() function do?,The Python help() function will return the documentation of Python modules classes functions etc. 
What does the Python dir() function do?,The Python dir() function will return a list of methods and attributes from the object you call it with.
What is pass in Python?,The pass keyword represents a null operation in Python. It is generally used for the purpose of filling up empty blocks of code which may execute during runtime but has yet to be written. 
What is the use of self in Python?,Self is used to represent the instance of the class. With this keyword you can access the attributes and methods of the class in python. It binds the attributes with the given arguments. self is used in different places and often thought to be a keyword. 
What are unit tests in Python?,Unit test is a unit testing framework of Python.Unit testing means testing different components of software separately.
What is docstring in Python?,Documentation string or docstring is a multiline string used to document a specific code segment.The docstring should describe what the function or method does.
How is memory managed in Python?,Memory management in Python is handled by the Python Memory Manager. The memory allocated by the manager is in form of a private heap space dedicated to Python. 
What are Python namespaces? Why are they used?,A namespace in Python ensures that object names in a program are unique and can be used without any conflict. Python implements these namespaces as dictionaries with 'name as key' mapped to a corresponding 'object as value'. This allows for multiple namespaces to use the same name and map it to a separate object.
What are decorators in Python?,Decorators in Python are essentially functions that add functionality to an existing function in Python without changing the structure of the function itself. 
What is the difference between xrange and range in Python?,xrange() and range() are quite similar in terms of functionality. They both generate a sequence of integers with the only difference that range() returns a Python list whereas xrange() returns an xrange object.
