List two Java IDE,Netbeans Eclipse etc.
What is a Class Variable?,These are variables declared with in a class outside any method with the static keyword.
What do you mean by Constructor?,Constructor gets invoked when a new object is created. Every class has a constructor. If we do not explicitly write a constructor for a class the java compiler builds a default constructor for that class.
List any five features of Java?,Some features include Object Oriented Platform Independent Robust Interpreted Multi-threaded
What is an Exception?,An exception is a problem that arises during the execution of a program. Exceptions are caught by handlers positioned along the thread's method invocation stack.
What is Java?,Java is the high-level object-oriented robust secure programming language platform-independent high performance Multithreaded and portable programming language.
List the features of Java Programming language?,simple object oriented portable platform independent secure robust interpreted distributed dynamic.
What do you understand by Java virtual machine?,Java Virtual Machine is a virtual machine that enables the computer to run the Java program. JVM acts like a run-time engine which calls the main method present in the Java code. JVM is the specification which must be implemented in the computer system. The Java code is compiled by JVM to be a Bytecode which is machine independent and close to the native code.
How many types of memory areas are allocated by JVM?,class area heap stack program counter register native method stack.
What is JIT compiler?,Just-In-Time(JIT) compiler: It is used to improve the performance. JIT compiles parts of the bytecode that have similar functionality at the same time and hence reduces the amount of time needed for compilation.
What is the platform?,A platform is the hardware or software environment in which a piece of software is executed. There are two types of platforms software-based and hardware-based. Java provides the software-based platform.
What are the main differences between the Java platform and other platforms?,Java is the software-based platform whereas other platforms may be the hardware platforms or software-based platforms.Java is executed on the top of other hardware platforms whereas other platforms can only have the hardware components.
What gives Java its 'write once and run anywhere' nature?,The bytecode. Java compiler converts the Java programs into the class file (Byte Code) which is the intermediate language between source code and machine code. This bytecode is not platform specific and can be executed on any computer.
What is classloader?,Classloader is a subsystem of JVM which is used to load class files. Whenever we run the java program it is loaded first by the classloader. There are three built-in classloaders in Java.
Is Empty .java file name a valid source file name?,Yes Java allows to save our java file by .java only we need to compile it by javac .java and run by java classname.
Is delete next main exit or null keyword in java?,No.
If I don't provide any arguments on the command line then what will the value stored in the String array passed into the main() method empty or NULL?,It is empty but not null.
What if I write static public void instead of public static void?,The program compiles and runs correctly because the order of specifiers doesn't matter in Java.
What is the default value of the local variables?,The local variables are not initialized to any default value neither primitives nor object references.
What are the various access specifiers in Java?,In Java access specifiers are the keywords which are used to define the access scope of the method class or a variable.public protected private default.
What is the purpose of static methods and variables?,The methods or variables defined as static are shared among all the objects of the class. The static is the part of the class and not of the object. The static variables are stored in the class area and we do not need to create the object to access such variables.
What are the advantages of Packages in Java?,There are various advantages of defining packages in Java.Packages avoid the name clashes.The Package provides easier access control.It is easier to locate the related classes.
What is object-oriented paradigm?,It is a programming paradigm based on objects having data and methods defined in the class to which it belongs. Object-oriented paradigm aims to incorporate the advantages of modularity and reusability.
What is an object?,The Object is the real-time entity having some state and behavior. In Java Object is an instance of the class having the instance variables as the state of the object and the methods as the behavior of the object. The object of a class can be created by using the new keyword.
What will be the initial value of an object reference which is defined as an instance variable?,All object references are initialized to null in Java.
What is the constructor?,The constructor can be defined as the special type of method that is used to initialize the state of an object. It is invoked when the class is instantiated and the memory is allocated for the object. Every time an object is created using the new keyword the default constructor of the class is called. The name of the constructor must be similar to the class name. The constructor must not have an explicit return type.
How many types of constructors are used in Java?,Based on the parameters passed in the constructors there are two types of constructors in Java.
What is the purpose of a default constructor?,The purpose of the default constructor is to assign the default value to the objects. The java compiler creates a default constructor implicitly if there is no constructor in the class.
Does constructor return any value?,yes The constructor implicitly returns the current instance of the class.
Is constructor inherited?,No The constructor is not inherited.
Can you make a constructor final?,No the constructor can't be final.
Can we overload the constructors?,Yes the constructors can be overloaded by changing the number of arguments accepted by the constructor or by changing the data type of the parameters.
