What is C Language?,C programming language the pioneer of programming languages is a procedural programming language. Dennis Ritchie created it as a system programming language for writing operating systems. It is one of the most popular programming languages because of its structure high-level abstraction machine-independent feature etc. and is a great starting point for anyone wanting to get into coding. 
Why is C called a mid-level programming language?,C has characteristics of both assembly-level i.e. low-level and higher-level languages. So as a result C is commonly called a middle-level language. Using C a user can write an operating system as well as create a menu-driven consumer billing system.
What are the features of the C language?,It is Simple And Efficient. C language is portable or Machine Independent.C is a mid-level Programming Language. It is a structured Programming Language.C is super fast.Dynamic Memory Management.
What is a token?,The individual elements of a program are called Tokens.
What is the use of printf() and scanf() functions?,printf() is used to print the output on the display.scanf() is used to read formatted data from the keyboard. 
explain format specifiers?,%d: It's a datatype format specifier for printing and scanning an integer value. %s: It's a datatype format specifier for printing and scanning a string. %c: It's a datatype format specifier for displaying and scanning a character value.%f: The datatype format specifier %f is used to display and scan a float value.
What is a built-in function in C?,Built-function is also known as library functions that are provided by the system to make the life of a developer easy by assisting them to do certain commonly used predefined tasks.The most commonly used built-in functions in C are scanf() printf() strcpy strlwr strcmp strlen strcat and many more.
What is a Preprocessor?,A preprocessor is a software program that processes a source file before sending it to be compiled. Inclusion of header files macro expansions conditional compilation and line control are all possible with the preprocessor.
In C What is the #line used for?,In C #line is used as a preprocessor to re-set the line number in the code which takes a parameter as line number.
How can a string be converted to a number?,The function takes the string as an input that needs to be converted to an integer.
How can a number be converted to a string?,The function takes a pointer to an array of char elements that need to be converted and a format string needs to be written in a buffer as a string.
What is recursion in C?,When a function in C calls a copy of itself this is known as recursion. To put it another way when a function calls itself this technique is called Recursion. Also this function is known as recursive function.
Why doesn’t C support function overloading?,After you compile the C source the symbol names need to be intact in the object code. If we introduce function overloading in our source we should also provide name mangling as a preventive measure to avoid function name clashes. Also as C is not a strictly typed language many things(ex: data types) are convertible to each other in C. Therefore the complexity of overload resolution can introduce confusion in a language such as C.
What is the difference between global int and static int declaration?,The difference between this is in scope. A truly global variable has a global scope and is visible everywhere in your program.
What is a pointer in C?,A pointer is a variable that stores or points to another variable's address. The value of a variable is stored in a normal variable whereas the address of a variable is stored in a pointer variable.
Difference between const char* p and char const* p?,const char* p is a pointer to a const char.char const* p is a pointer to a char const.Since const char and char const are the same it's the same.
What is pointer to pointer in C?,In C a pointer can also be used to store the address of another pointer. A double pointer or pointer to pointer is such a pointer. The address of a variable is stored in the first pointer whereas the address of the first pointer is stored in the second pointer.
Why n++ executes faster than n+1 ?,n++ being a unary operation it just needs one variable. Whereas n = n + 1 is a binary operation that adds overhead to take more time (also binary operation: n += 1). However in modern platforms it depends on few things such as processor architecture C compiler usage in your code and other factors such as hardware problems.While in the modern compiler even if you write n = n + 1 it will get converted into n++ when it goes into the optimized binary and it will be equivalently efficient.
What is typecasting in C?,Typecasting is the process to convert a variable from one datatype to another.  If we want to store the large type value to an int type then we will convert the data type into another data type explicitly.
What are the advantages of Macro over function?,Macro on a high-level copy-paste its definitions to places wherever it is called. Due to which it saves a lot of time as no time is spent while passing the control to a new function and the control is always with the callee function. However one downside is the size of the compiled binary is large but once compiled the program comparatively runs faster.
